data;

#param C = 5;

#Datos
param A: 1 2 3 4 :=
1	0.477	0.065	0.324	0.853
2	0.046	0.004	0.563	0.476
3	0.313	0.744	0.972	0.542
4	0.79	0.816	0.301	0.726
5	0.765	0.342	0.854	0.535
6	0.09	0.9	0.428	0.486
7	0.411	0.963	0.916	0.735
8	0.515	0.78	0.82	0.078
9	0.871	0.391	1	0.844
10	0.295	0.633	0.749	0.596
11	0.193	0.362	0.701	0.047
12	0.292	0.137	0.797	0.72
13	0.648	0.131	0.586	0.564
14	0.402	0.08	0.647	0.222
15	0.903	0.093	0.549	0.903
16	0.482	0.198	0.57	0.231
17	0.93	0.424	0.156	0.631
18	0.053	0.923	0.608	0.851
19	0.231	0.499	0.775	0.817
20	0.641	0.219	0.143	0.288
21	0.301	0.19	0.535	0.85
22	0.472	0.333	0.291	0.042
23	0.085	0.972	0.988	0.241
24	0.459	0.294	0.526	0.067
25	0.169	0.298	0.644	0.944
26	0.707	0.585	0.334	0.85
27	0.775	0.152	0.062	0.31
28	0.155	0.782	0.335	0.446
29	0.899	0.532	0.795	0.887
30	0.398	0.346	0.067	0.924
31	0.212	0.093	0.711	0.857
32	0.826	0.564	0.621	0.16
33	0.494	0.936	0.566	0.556
34	0.568	0.712	0.028	0.903
35	0.851	0.801	0.689	0.647
36	0.462	0.045	0.034	0.53
37	0.446	0.742	0.061	0.157
38	0.098	0.983	0.163	0.719
39	0.577	0.213	0.08	0.144
40	0.326	0.712	0.481	0.353
41	0.638	0.204	0.416	0.328
42	0.104	0.79	0.896	0.137
43	0.864	0.584	0.062	0.925
44	0.661	0.023	0.724	0.823
45	0.868	0.401	0.954	0.948
46	0.723	0.274	0.256	0.204
47	0.87	0.842	0.831	0.286
48	0.682	0.389	0.961	0.578
49	0.28	0.442	0.11	0.342
50	0.851	0.003	0.389	0.576
51	0.131	0.444	0.227	0.085
52	0.772	0.808	0.666	0.028
53	0.293	0.898	0.854	0.124
54	0.025	0.806	0.573	0.985
55	0.1	0.266	0.826	0.211
56	0.192	0.062	0.611	0.581
57	0.437	0.711	0.082	0.665
58	0.474	0.437	0.604	0.14
59	0.616	0.432	0.362	0.471
60	0.546	0.495	0.363	0.12
61	0.747	0.22	0.746	0.572
62	0.354	0.764	0.493	0.965
63	0.131	0.402	0.057	0.212
64	0.853	0.686	0.503	0.457
65	0.968	0.074	0.259	0.33
66	0.815	0.877	0.04	0.178
67	0.52	0.925	0.217	0.266
68	0.647	0.62	0.261	0.14
69	0.607	0.271	0.986	0.663
70	0.053	0.516	0.17	0.557
71	0.996	0.524	0.047	0.254
72	0.591	0.069	0.731	0.631
73	0.728	0.151	0.172	0.944
74	0.669	0.592	0.036	0.93
75	0.62	0.537	0.003	0.607
76	0.486	0.66	0.716	0.656
77	0.689	0.652	0.74	0.736
78	0.595	0.328	0.975	0.326
79	0.223	0.054	0.109	0.395
80	0.526	0.064	0.59	0.562
81	0.322	0.182	0.531	0.325
82	0.731	0.811	0.448	0.448
83	0.664	0.137	0.119	0.405
84	0.025	1	0.201	0
85	0.159	0.223	0.379	0.268
86	0.377	0.794	0.681	0.967
87	0.675	0.288	0.537	0.206
88	0.326	0.938	0.424	0.774
89	0.89	0.438	0.522	0.009
90	0.395	0.034	0.843	0.596
91	0.168	0.756	0.257	0.547
92	0.874	0.924	0.818	0.555
93	0.173	0.23	0.179	0.71
94	0.792	0.036	0.374	0.215
95	0.759	0.106	0.248	0.282
96	0.09	0.677	0.149	0.933
97	0.182	0.101	0.029	0.439
98	0.053	0.313	0.573	0.87
99	0.464	0.043	0.099	0.643
100	0.536	0.435	0.789	0.91
101	0.598	0.669	0.756	0.846
102	0.871	0.937	0.628	0.019
103	0.901	0.202	0.971	0.93
104	0.619	0.983	0.954	0.192
105	0.823	0.656	0.896	0.921
106	0.649	0.457	0.734	0.438
107	0.384	0.037	0.036	0.14
108	0.987	0.011	0.82	0.615
109	0.689	0.516	0.232	0.66
110	0.873	0.279	0.429	0.827
111	0.282	0.65	0.128	0.178
112	0.427	0.827	0.028	0.161
113	0.395	0.545	0.303	0.431
114	0.186	0.418	0.696	0.005
115	0.726	0.694	0.549	0.959
116	0.995	0.832	0.634	0.424
117	0.106	0.706	0.308	0.234
118	0.879	0.661	0.711	0.907
119	0.977	0.302	0.368	0.28
120	0.053	0.466	0.151	0.749
121	0.184	0.476	0.165	0.732
122	0.519	0.727	0.266	0.153
123	0.924	0.259	0.857	0.233
124	0.741	0.112	0.154	0.452
125	0.976	0.43	0.322	0.344
126	0.055	0.397	0.175	0.206
127	0.646	0.39	0.621	0.811
128	0.056	0.33	0.849	0.321
129	0.001	0.245	0.742	0.858
130	0.235	0.598	0.59	0.389
131	0.609	0.365	0.481	0.931
132	0.19	0.986	0.106	0.366
133	0.252	0.012	0.581	0.873
134	0.703	0.929	0.153	0.552
135	0.637	0.553	0.495	0.379
136	0.973	0.614	0.009	0.563
137	0.06	0.172	0.368	0.541
138	0.077	0.731	0.089	0.183
139	0.28	0.434	0.108	0.861
140	0.931	0.564	0.236	0.085
141	0.486	0.722	0.669	0.981
142	0.08	0.955	0.715	0.089
143	0.718	0.149	0.69	0.085
