param ncells := 34;
param :			 a		 lb		 ub		  c		 is_p		  :=
	1		300		0		345		1		1
	2		8		0		15		1		0
	3		5		0		10		1		0
	4		5		0		16		1		0
	5		5		0		13		1		1
	6		38		0		44		1		0
	7		361		361		361		1		0
	8		8		0		12		1		0
	9		68		0		78		1		1
	10		40		0		46		1		0
	11		76		0		87		1		0
	12		29		0		33		1		0
	13		31		0		36		1		0
	14		252		252		252		1		0
	15		11		0		18		1		0
	16		33		0		38		1		0
	17		20		0		23		1		0
	18		60		0		69		1		0
	19		35		0		40		1		0
	20		44		0		51		1		0
	21		203		203		203		1		0
	22		7		0		15		1		0
	23		28		0		32		1		0
	24		36		0		41		1		1
	25		41		0		47		1		0
	26		22		0		25		1		0
	27		63		0		72		1		0
	28		197		197		197		1		0
	29		326		326		326		1		0
	30		137		137		137		1		0
	31		101		101		101		1		0
	32		182		182		182		1		0
	33		91		91		91		1		0
	34		176		176		176		1		0
;
param npcells := 4;
param:			 p 		 plpl 		 pupl :=
	1		1		15              20
	2		5		2		4
	3		9		10		6
	4		24		9		3
;
param nconstraints := 10;
param :			 coef		 xcoef :=
	1		-1		7
	2		1		1
	3		1		2
	4		1		3
	5		1		4
	6		1		5
	7		1		6
	8		-1		14
	9		1		8
	10		1		9
	11		1		10
	12		1		11
	13		1		12
	14		1		13
	15		-1		21
	16		1		15
	17		1		16
	18		1		17
	19		1		18
	20		1		19
	21		1		20
	22		-1		28
	23		1		22
	24		1		23
	25		1		24
	26		1		25
	27		1		26
	28		1		27
	29		-1		29
	30		1		1
	31		1		8
	32		1		15
	33		1		22
	34		-1		30
	35		1		2
	36		1		9
	37		1		16
	38		1		23
	39		-1		31
	40		1		3
	41		1		10
	42		1		17
	43		1		24
	44		-1		32
	45		1		4
	46		1		11
	47		1		18
	48		1		25
	49		-1		33
	50		1		5
	51		1		12
	52		1		19
	53		1		26
	54		-1		34
	55		1		6
	56		1		13
	57		1		20
	58		1		27
;
param b :=
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
;
param begconst :=
1	1
2	8
3	15
4	22
5	29
6	34
7	39
8	44
9	49
10	54
11	59
;
param nnz := 58 ;
